Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Gm11730,161,90,143,84,130,91,102,127
Gm11739,100747,91376,101202,70371,68702,69922,101202,94267
Gm11743,166,101,106,249,303,281,261,275
Gm11744,5526,5141,5760,4593,4837,4620,5950,5424
Gm11745,6849,5955,7098,5866,6025,5597,5856,6254
Gm11748,4680,3945,4528,4114,4067,3951,5580,6111
GM11764,852,982,1030,1082,1052,1155,1194,1225
Gm11767,1699,1593,1638,1211,1171,1054,1656,1624
Gm11769,565,457,592,406,365,340,544,546
Gm11772,53,55,73,53,57,41,51,59
Gm11783,55,33,67,70,99,92,44,67
Gm11788,9984,10757,9540,14375,12193,15498,13276,22565
Gm11789,1783,1563,1737,1898,1812,1509,2405,2622
Gm11799,8,4,7,6,4,9,10,15
Gm11808,718,704,864,784,684,787,765,774
Gm11827,1143,1277,1329,1390,1424,1439,1227,1326
Gm11832,8888,7741,9285,6258,6368,4899,6950,7649
Gm11837,568,423,458,368,317,340,733,671
Gm11839,49,82,80,55,33,37,44,74
Gm11841,3029,2800,3001,2536,2660,2786,2930,2611
Gm11868,461,341,499,50,51,89,124,87
Gm11870,17,28,19,11,20,19,21,16
Gm11883,3548,2765,3000,3847,4039,3792,4478,4532
Gm11944,3021,2284,2645,1978,1867,1826,2410,2465
Gm11946,1533,1457,1720,1470,1412,1321,1565,1559
Gm11948,1941,1859,2145,1697,1685,1351,1694,1938
Gm11951,549,762,827,710,580,681,558,478
Gm11957,2839,2468,2940,4016,4174,4308,3350,2951
Gm11973,2305,1993,2096,2291,2226,2345,2689,2470
Gm11978,922,959,1077,1198,1034,1106,770,903
Gm11980,759,645,740,723,678,735,807,842
Gm12013,5501,7485,7515,8234,8245,7175,5772,5309
Gm12031,2469,2211,2494,2555,2609,2656,2686,2642
Gm12036,960,1039,1165,953,950,1004,1102,1021
Gm12037,48,116,110,151,177,157,158,150
Gm12059,4,3,1,2,1,2,4,1
Gm12060,39,38,26,47,61,62,67,75
Gm12094,1008,751,924,168,127,199,271,153
Gm12096,3308,3306,3628,2247,2377,2299,2860,2828
GM12097,47,31,24,53,43,36,45,94
Gm12114,6558,5711,6798,7051,7034,6196,7077,7689
Gm12158,472,576,607,194,228,277,505,457
Gm12164,42,31,42,73,65,67,41,47
Gm12174,2112,2072,2299,2241,2421,2053,1974,2009
Gm12177,136,114,134,136,127,125,125,146
Gm12183,455,423,424,349,371,351,569,477
Gm12184,5395,4078,4484,4082,4022,3848,6044,5863
Gm12185,355,351,382,309,334,262,377,421
Gm12187,524,297,345,449,487,399,629,646
Gm12198,1580,1417,1517,1636,1643,1437,1867,1895
Gm12207,9925,11274,12180,11904,11709,13472,10471,9117
Gm12208,78,98,68,148,184,137,112,149
Gm12216,3211,4014,4717,2611,3031,2906,2434,2584
Gm12227,1785,2002,2369,1713,1695,1711,1778,1670
Gm12246,1679,1644,1883,1821,1793,1623,1777,1904
Gm12247,337,368,439,374,392,386,283,270
Gm12250,447,484,601,487,463,522,535,488
Gm12259,9,4,4,1,6,1,4,4
Gm12272,1060,1105,1231,948,969,862,976,948
Gm12275,206,152,182,113,153,102,176,208
Gm12276,2128,2070,2327,1848,1893,1558,1968,2105
Gm12280,1061,788,876,1243,1108,1079,1362,1504
Gm12286,896,1063,1225,737,768,775,730,709
Gm12295,1219,1289,1391,1104,986,923,1116,1115
Gm12307,3,4,5,2,1,3,4,4
Gm12356,3785,3557,3844,4439,4359,4730,4150,3727
Gm12359,315,189,251,348,333,396,179,216
Gm12366,741,813,1078,879,900,839,747,719
Gm12380,435,410,441,525,522,477,494,550
Gm12394,9,6,5,12,14,8,7,11
Gm12403,3826,4848,4992,3078,2888,3207,2982,2464
Gm12416,141,97,134,73,76,72,58,66
Gm12439,227,251,249,171,184,183,204,190
Gm12470,2560,2722,2850,2785,2591,2400,2268,2008
Gm12472,620,681,772,623,661,538,716,649
Gm12474,378,193,253,272,293,270,343,336
Gm12500,256,175,186,250,276,214,272,343
Gm12503,10,12,17,24,29,25,13,17
Gm12504,4,5,10,4,4,8,6,9
Gm12506,222,222,284,314,296,296,254,350
Gm12571,923,807,911,1520,1660,1436,1548,1616
Gm12592,2485,2537,2743,3122,3087,3205,2845,2820
Gm12618,2425,2403,2643,2843,2518,2338,2620,2446
Gm12655,978,1029,1103,1009,938,1115,1088,1024
Gm12657,10781,10315,12358,4501,4601,4279,7709,8355
Gm12696,254,168,210,191,199,215,183,168
Gm12734,925,580,720,599,634,598,913,1019
Gm12737,1108,1176,1188,853,815,981,1219,2041
Gm12743,233,235,230,183,194,192,262,222
Gm12751,204,160,190,259,247,199,117,168
Gm12762,94,68,109,139,138,134,95,71
Gm12763,440,434,511,250,222,245,294,322
Gm12764,5049,4436,5557,3558,3212,3462,4173,3772
Gm12786,238,144,192,287,278,235,260,319
Gm12807,3489,3725,4334,2770,2471,2735,2912,2762
Gm12827,1807,1817,2338,3051,4961,4666,1889,1930
Gm12840,2749,2648,3238,1950,1854,1980,2394,2286
Gm12843,7,7,5,7,7,9,6,4
Gm12848,2816,2778,3070,2957,2730,2640,3120,3118
