Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Kmt2e,19873,23178,22355,23543,33875,40663,13794,16460
Kncn,2104,2232,2439,1951,2015,1802,2634,2651
Kpnb1,2383,2290,2704,1861,1858,1707,2391,2339
Kras,764,729,951,1300,843,1025,605,797
Krba1,6,7,10,16,12,21,9,7
Kremen1,88,74,91,85,73,85,73,92
Kremen2,2,5,6,1,2,5,1,2
Kri1,487,387,537,108,98,98,145,118
Krit1,1274,1679,1896,1653,1587,1461,1871,1722
Krt19,1802,1818,1868,1392,1271,1310,1766,1679
Krt28,2136,2364,2783,1887,1671,1619,1895,1868
Krt79,1943,1986,2159,1567,1408,1300,1988,1839
Krt80,5576,5334,5872,4722,4623,4493,4917,4833
Krtcap2,233,168,203,108,91,101,129,124
Krtcap3,456,344,388,173,185,180,311,385
Ksr1,61,36,32,146,185,197,112,68
Kti12,2133,2021,2159,2325,2519,2555,2699,2858
Ktn1,284,213,263,274,239,187,249,341
Ky,133,126,203,153,130,137,122,186
Kynu,444,477,551,283,282,266,304,296
L1cam,2783,2983,3169,2324,2554,2769,2657,2366
L3hypdh,1391,1161,1317,1317,1332,1202,1558,1534
Lacc1,21,11,11,7,6,7,10,5
Lace1,352,286,335,228,171,201,343,305
Lad1,1065,1130,1230,1213,1167,1237,999,909
Lag3,877,852,1018,569,511,587,822,751
Lair1,304,473,618,222,178,244,304,287
Lalba,6039,7180,8529,6519,6536,6482,5622,5819
Lama2,655,624,639,485,452,435,708,705
Lama3,6303,6345,7272,5720,5403,5133,5400,5226
Lama4,20632,20904,23675,16997,16181,14363,18258,18928
Lama5,759,644,758,511,488,355,587,658
Lamc1,1084,985,1090,1083,994,887,999,1072
Lamc2,4,1,2,4,3,5,3,5
Lamp2,14,13,16,10,9,10,11,13
Lamtor4,989,523,639,1235,1151,1013,1306,1413
Lancl3,35,29,14,14,13,8,12,16
Lao1,2060,1987,2250,2269,2342,2142,2026,2043
Laptm4a,354,313,420,232,230,209,242,212
Laptm4b,552,436,436,289,319,411,292,327
Laptm5,780,847,1151,1036,1023,953,920,771
Larp1b,6053,5101,6108,4703,4524,4572,5932,5906
Larp4,10,9,10,3,1,5,4,0
Larp7,876,782,871,716,741,785,928,928
Lars2,100,25,64,43,32,37,58,49
Las1l,488,420,534,375,359,291,453,532
Lat2,5075,5806,6058,3750,3532,4080,3227,2874
Lats1,1117,931,1035,1130,1100,1352,1578,1519
Lax1,3397,3384,4107,3050,2934,2556,3277,3559
Layn,2489,2555,2860,1798,1657,1617,2390,2210
Lbh,38,16,30,20,16,26,20,6
Lbp,4821,5039,5686,5301,4759,4970,5139,4660
Lbr,2230,1981,2210,2448,2355,2231,2235,2296
Lbx2,22,10,16,5,7,5,32,17
Lca5,1138,1210,1379,1745,1639,1565,1472,1349
Lcmt1,444,482,538,439,350,375,386,395
Lcmt2,2427,2289,2585,2585,2504,2094,2522,2560
Lcp2,20275,19915,21298,20622,20476,21050,21077,19540
Ldb2,745,738,850,704,683,658,933,877
Ldb3,12,17,30,1,3,3,0,3
Ldhb,47,24,21,9,11,10,15,23
Ldhc,3082,3112,3510,3291,3414,3340,3270,3114
Ldoc1,417,369,470,219,228,179,309,325
Ldoc1l,281,249,313,279,267,307,197,234
Leap2,51,66,67,64,52,47,90,75
Lef1,3693,3355,3819,3602,3481,3123,3781,4166
Lefty1,14,6,11,39,44,45,14,11
Lemd3,10,3,2,4,7,13,2,6
Leng9,71,62,56,39,41,52,86,63
Leo1,764,598,588,684,719,933,1152,1109
Leprel1,689,697,806,672,735,701,715,708
Leprel2,668,566,760,665,661,595,669,758
Leprel4,6865,6683,7509,7777,7473,7863,7177,6937
Leprotl1,4,2,3,5,1,3,5,3
Letm2,1180,1139,1297,942,942,893,1136,1110
Letmd1,1182,1045,1114,1188,1126,1250,1368,1327
Lfng,284,331,387,239,259,260,337,293
Lgals1,1305,1241,1420,1608,1422,1343,1395,1313
Lgals12,968,752,847,902,891,905,1030,947
Lgals3,1,1,0,2,4,2,4,5
Lgals4,1651,1405,1764,1655,1537,1427,1746,1743
Lgals9,1563,1096,1290,946,938,867,1241,1036
Lgalsl,2535,2446,2620,2400,2341,2460,2583,2400
Lgi2,216,183,241,232,234,225,199,210
Lgmn,511,387,527,361,327,261,456,504
Lgr4,34,51,34,37,44,41,30,28
Lhfp,5622,7058,7399,5573,5395,5538,5571,5130
Lhfpl2,809,639,727,1007,868,767,1187,1172
LHX6,4,1,0,1,0,0,1,1
Lias,784,732,885,720,702,620,695,703
Lif,402,377,414,364,433,396,518,451
Lig3,108,82,110,50,61,70,106,126
Lig4,675,444,566,619,613,446,638,806
Limch1,730,577,703,580,537,414,660,774
Limd1,155,138,154,141,110,109,156,174
Lime1,44,59,37,26,24,32,45,24
Limk2,688,658,847,507,514,559,656,632
Lims1,21183,30321,33587,55627,64807,59986,34427,34264
Lims2,772,687,913,702,709,729,703,794
Lin37,621,550,633,645,720,553,710,701
Lin52,1276,1076,1302,1027,951,883,1407,1441
Lin7a,517,359,409,636,693,640,795,743
Lin7b,530,323,402,616,643,485,673,673
Lin9,279,166,192,187,186,150,280,295
Lincpint,3251,3250,3661,2532,2476,2132,2748,2940
Lingo1,1363,1556,1641,1176,1176,1188,1363,1317
Lingo3,6249,7995,8850,6625,6283,6709,6471,6168
Lins,681,542,506,687,812,865,724,874
Lipa,726,726,966,994,1077,928,571,851
Lipc,27,58,37,39,50,40,32,25
Liph,2404,2495,2492,2376,2265,2563,2587,2268
Lipo1,902,1136,1327,165,127,173,377,428
Lipt1,1746,1813,2093,1140,1131,876,1360,1362
Lipt2,2246,2221,2525,2161,2019,2133,1897,1893
Litaf,105,106,101,98,113,74,189,199
Lix1,1376,1428,1605,1329,1242,1362,1585,1498
Llgl1,455,407,483,429,631,564,327,409
Llph,160,169,185,193,172,141,146,170
Lman2,4876,6641,6073,4710,5059,5078,5285,4931
Lman2l,1099,806,917,1009,1040,1090,1545,1796
Lmbrd1,1426,1505,1647,1281,1392,1257,1253,1259
Lmbrd2,26,9,13,12,15,25,13,15
Lmln,1333,1153,1285,916,882,840,1517,1359
Lmnb2,556,1125,1145,785,871,944,461,444
Lmntd2,4239,4283,4529,4330,4150,4399,4667,4171
Lmo1,1822,1864,1999,1095,1133,1196,1380,1248
Lmo4,6599,6144,6379,11097,11701,10702,9320,9074
Lmod1,2365,2394,2792,3845,3587,3555,3104,3080
Lmod2,302,165,185,184,254,244,331,331
Lmtk2,25,15,12,14,16,14,14,26
Lmtk3,2512,2606,2670,2776,2561,2564,2476,2391
Lnx1,100,80,111,85,108,93,105,126
Lonrf2,523,551,600,281,270,223,383,453
Lonrf3,781,939,851,1539,1840,2073,1022,770
Lor,63,108,108,178,271,244,102,79
Lox,11068,8171,10187,13012,13909,11588,14566,18339
Loxl2,95,26,71,72,48,46,83,105
Loxl3,1075,600,811,928,1050,869,1164,1156
Loxl4,3268,3261,3591,3210,3199,3426,3599,3285
Lpar2,9547,10424,11351,10923,10400,9872,10071,9990
Lpar4,2118,1977,2166,2191,2032,1963,2474,2583
Lpgat1,55,181,152,214,275,282,76,187
Lphn1,856,894,1005,342,312,363,607,637
Lpin1,4537,4802,5190,4909,4818,5712,5371,5084
Lpin2,4057,4251,4729,4212,4186,4118,4414,4340
Lpl,538,442,576,372,437,401,552,536
Lpp,4949,4740,5190,2794,2645,2593,4520,4044
Lppr2,3216,3356,3654,5875,6951,6408,4617,4179
Lppr3,2487,2006,2305,2189,1989,1880,2381,2654
Lppr4,6,6,5,9,3,10,7,12
Lpxn,113,129,132,196,195,181,135,151
Lrat,1156,899,1001,980,922,762,1132,1221
Lrba,77,67,84,99,129,96,89,94
Lrch1,2305,2290,2783,2036,1925,1959,2669,2491
Lrch2,502,491,567,490,511,460,563,575
Lrch3,4729,5350,5843,4934,4845,4516,5032,4866
Lrch4,8,4,6,23,17,25,11,11
Lrfn1,194,203,211,186,167,180,236,194
Lrfn2,3218,3301,3619,2670,2598,2711,3011,2814
Lrfn3,167,195,195,89,97,94,181,181
Lrfn4,2004,1930,2091,2129,2207,1996,2022,2131
Lrig1,53781,58171,67350,38654,35466,33366,44542,44288
Lrig3,1073,1265,1388,1058,1057,891,891,820
Lrp1,1015,734,933,690,719,604,798,879
Lrp10,1186,1218,1418,1329,1262,1305,1233,1233
Lrp3,2649,3048,3444,2790,2572,2544,2906,2701
Lrp4,106,77,115,89,38,25,31,37
Lrp5,41,23,34,24,31,41,48,23
Lrpap1,1712,1570,1779,1998,1874,1681,1779,1909
Lrr1,6913,6585,7532,6996,6796,6132,6939,7532
Lrrc10,5,5,3,12,7,13,9,10
Lrrc10b,259,172,243,34,41,40,79,48
Lrrc14,7,2,14,15,10,12,11,11
Lrrc15,2319,2304,2568,1991,2117,2141,2005,2030
Lrrc16a,47,32,18,43,47,53,38,40
Lrrc16b,6404,5074,7077,516,332,670,1231,620
Lrrc18,18,13,18,21,22,26,24,18
Lrrc2,14,7,4,5,3,6,2,2
Lrrc20,1091,1438,1641,1155,1195,1194,1152,1156
Lrrc25,204,200,225,168,175,145,215,223
Lrrc3,3027,2866,3441,1801,1727,1644,2388,2450
Lrrc34,1106,1190,1400,1035,951,885,1336,1289
Lrrc36,2471,2071,2620,2637,2708,2931,2800,2647
Lrrc3b,3104,3896,3735,4850,5295,4073,4680,5104
Lrrc40,681,673,766,565,587,560,651,627
Lrrc41,94,178,172,213,198,238,137,331
Lrrc42,5915,7073,7899,7306,7132,7375,6787,6411
Lrrc45,15,15,14,9,13,21,11,7
Lrrc46,2094,1791,2127,1432,1342,1206,2348,2455
Lrrc48,2,2,2,1,6,3,0,6
Lrrc49,2275,2023,2273,1558,1538,1500,2542,2365
Lrrc4b,297,211,217,242,219,202,233,264
Lrrc4c,756,724,855,587,589,545,680,662
Lrrc51,2013,2013,2220,1677,1672,1585,1950,1976
Lrrc57,85,90,115,205,184,235,106,63
Lrrc71,26,19,29,32,22,17,11,7
Lrrc75aos1,191,155,210,198,177,183,181,200
Lrrc8d,55,55,51,35,25,34,21,23
Lrrc9,475,436,527,614,602,586,526,583
Lrrcc1,766,916,1030,795,718,792,762,656
Lrrd1,37,28,15,2,8,5,35,33
Lrrfip2,16,11,17,23,13,9,4,20
Lrrk2,20,37,44,30,39,39,37,30
Lrrn2,799,816,923,765,686,693,1067,1068
Lrrn3,1273,1178,1380,1397,1395,1413,1751,1682
Lrrn4,0,1,0,9,3,9,2,2
Lrrtm3,57936,56495,64161,46174,47257,42467,59684,62406
Lsm1,2476,2087,2172,3135,3065,2962,3423,3452
Lsm11,11,14,16,18,20,19,14,11
Lsm14a,11945,9641,10772,10499,10595,8823,11070,11338
Lsm14b,9,4,5,34,39,46,16,15
Lsm2,40,20,28,26,23,35,43,15
Lsm3,0,0,2,0,2,0,9,9
Lsm5,940,849,962,674,659,611,749,665
Lsm6,2390,2686,2781,2415,2125,2122,2815,2700
Lsmem1,164,122,128,135,152,161,264,261
Lsr,6,3,13,12,7,9,8,5
Lss,70,72,94,129,91,84,116,155
Lta,1077,1024,1068,725,718,695,999,1006
Lta4h,142,106,136,18,14,28,28,21
Ltb,2495,1535,1956,1157,1277,1291,1725,1954
Ltb4r1,982,1038,1214,701,621,616,860,865
Ltbp4,579,490,548,507,456,454,553,611
Ltbr,2229,2768,2725,2304,2328,2387,2378,2132
Ltn1,274,274,318,261,284,253,231,233
Ltv1,9300,11901,11613,7919,8393,8674,9470,8130
Luc7l,344,353,368,343,261,311,464,429
Luc7l2,1709,2399,2558,2423,2349,2165,2135,1983
Luc7l3,6526,6592,7295,3892,3864,3984,5877,5569
Lum,195,167,207,248,270,240,233,237
Lurap1,31335,31470,35886,28876,26915,26807,30298,30935
Ly6a,810,832,1070,364,288,396,778,753
Ly6c1,1931,2008,2270,1612,1566,1792,1961,1840
Ly6e,3000,3553,3831,4307,3895,4437,4382,4043
Ly6g5b,868,784,869,857,724,1126,802,721
Ly6g6c,9169,8481,8402,7138,7756,7817,7892,6570
Ly6h,62,62,58,64,61,48,57,82
Ly6i,684,534,708,767,775,659,860,857
Ly86,650,568,624,557,591,523,617,608
Ly96,6658,7054,7558,6811,6421,7147,6496,6199
Lyar,3165,3927,4316,3990,4080,4459,4101,3895
Lyl1,358,307,406,442,369,396,515,523
Lyn,3032,3088,3355,4630,4509,4841,3200,3153
Lynx1,889,660,862,115,92,121,208,95
Lypd6b,183,139,158,191,196,191,182,204
Lypla1,4550,4151,4538,4847,5178,4715,5417,5583
Lypla2,5214,5336,6103,3404,3778,3718,4851,5216
Lyplal1,205,157,160,195,187,157,263,257
Lyrm2,2141,2085,2545,853,732,800,1213,1009
Lyrm4,1943,1919,1687,1777,1785,1599,2420,2243
Lyrm9,2347,1708,1929,2043,2154,1687,2200,2466
Lyst,748,564,682,489,543,411,580,692
Lyve1,672,739,773,1478,1601,1531,871,838
Lyz2,0,2,1,5,6,4,2,0
Lzts1,3507,3699,4242,4277,4181,4337,3474,3546
Lzts2,2639,2933,3041,2526,2577,2915,3311,3182
Lzts3,5929,5362,6292,6285,5700,5833,6466,6469
M6pr-ps,5,2,6,4,0,4,7,3
Macrod2,3218,3120,3521,2986,2841,2632,3309,3389
Mad1l1,227,144,189,604,712,594,429,424
Madcam1,134,99,142,56,40,78,47,105
Madd,9328,9508,10895,6895,6602,6438,6984,6507
Maf1,4,6,4,0,3,4,6,12
Mafb,298,219,202,173,154,229,222,180
Maff,3996,5381,5526,5035,5225,5442,4389,4263
Mafg,1579,1774,1728,1686,1816,1519,1862,1680
Mag,5375,5371,6115,3333,3230,3008,4577,4446
Magea4,1106,993,1081,620,585,535,718,704
Mageb3,2186,2421,2604,1815,1759,1848,1925,1763
Maged2,11789,11466,12790,19190,19157,18275,19270,20080
Mageh1,502,407,472,97,50,81,102,87
Magi1,447,492,525,388,398,348,467,558
Magoh,1681,1413,1590,1688,1891,1915,2035,1883
Magohb,119,115,152,98,93,91,117,120
Mal,445,424,535,370,344,304,334,311
Malat1,2172,2189,2268,2886,3236,3384,2329,2191
Mall,302,288,299,220,243,240,374,334
Malsu1,334,320,360,188,175,175,370,408
Mamdc2,209,66,74,33,50,49,81,78
Maml2,1322,1293,1419,1363,1349,1356,1256,1196
Maml3,640,485,572,874,804,738,799,830
Mamstr,932,808,921,796,677,665,895,957
Man1a,24,14,12,20,23,28,17,49
Man1a2,157,206,203,84,106,77,80,74
Man1b1,12,17,35,50,56,66,25,30
Man1c1,455,457,537,334,305,361,360,293
Man2a1,355,346,399,890,752,951,852,848
Man2a2,2149,1809,2028,1660,1750,1627,2098,2155
Man2b2,4650,5245,6018,7286,7201,7901,4934,4431
Man2c1,19,12,14,17,13,17,10,9
Man2c1os,65,39,68,44,42,30,76,72
Manea,4848,4420,5609,2651,2434,2629,3008,2665
Manf,689,597,652,677,511,519,614,620
Mansc4,841,716,903,683,638,678,735,676
Maoa,18,10,9,6,7,5,6,6
Map1b,3501,3476,4015,2770,2612,2603,3130,3096
Map1s,3,6,1,0,2,4,5,2
Map2k1,450,424,507,507,480,437,655,671
Map2k3,335,236,227,163,178,165,258,525
Map2k3os,323,369,354,305,288,352,365,341
Map2k5,171,102,176,247,269,278,134,151
Map2k6,821,716,704,1496,1548,1512,616,592
Map3k13,117,101,159,83,61,86,84,68
Map3k19,790,721,836,632,634,604,655,587
Map3k4,965,997,1141,1001,1008,1011,994,936
Map3k5,7668,9091,10374,9354,8630,8918,7374,6451
Map3k7,28,50,31,183,171,155,29,85
Map3k8,1494,1358,1602,1279,1436,1214,1539,1496
Map3k9,842,856,927,565,515,533,675,637
Map4k1,9790,11139,12449,6870,6788,7426,8700,7126
Map4k2,3973,4305,4499,4740,4761,4950,4797,4335
Map4k3,352,225,267,476,435,526,543,509
Map4k4,7015,6175,7703,5655,5316,5973,5841,5693
Map7d1,3,5,10,1,2,3,2,3
Map7d2,19,23,24,17,44,33,24,25
Map9,418,583,770,486,380,382,551,433
Mapk10,36,40,55,28,21,16,31,38
Mapk14,9947,9890,10306,12371,11226,12416,17305,14561
Mapk1ip1,870,521,679,1232,1355,1255,785,895
Mapk6,1253,865,1010,1106,1564,2009,1610,1913
Mapk8,0,3,3,16,7,12,7,2
Mapk8ip1,0,0,0,5,5,5,2,3
Mapk8ip2,815,780,849,711,670,638,897,940
Mapk8ip3,167,166,141,22,21,26,194,214
Mapk9,129,128,173,291,229,261,132,175
Mapkap1,4270,4327,4831,3680,3334,3433,4459,4394
Mapkapk2,84,38,38,43,37,41,48,94
Mapkapk3,864,837,1125,1759,1768,1680,1549,1552
Mapre1,973,898,1069,289,282,374,493,415
Mapre2,400,387,456,239,193,169,255,275
Mapre3,291,338,320,406,394,373,382,411
Mapt,222,226,273,410,314,344,258,280
Marcks,6735,8479,8842,9240,8244,9691,9674,8846
Marcksl1,267,238,252,166,124,132,258,212
Marcksl1-ps4,7372,7439,8183,6721,6321,6072,5424,4899
Marf1,671,565,666,696,636,652,765,823
Mark1,159,68,105,79,87,76,111,129
Mark2,2913,3375,3579,2440,2439,2172,2596,2716
Mark4,1163,828,892,1024,1009,845,1067,1272
Mars,491,539,543,501,444,431,652,595
Mars2,920,549,668,601,654,584,944,1022
Marveld1,10913,10413,12938,9533,8900,8415,8819,8686
Mas1,349,416,398,400,381,374,427,448
Masp1,4,5,4,4,9,6,15,25
Masp2,119,106,96,98,81,98,59,56
Mast1,1974,2409,2669,1898,1987,1707,1832,1876
Mast3,9350,9488,11004,7236,7234,6549,8093,8024
Mast4,173,108,128,125,196,157,203,236
Mastl,1562,1881,1926,1549,1598,1581,1662,1631
Mat2a,489,333,423,191,194,249,343,352
Mat2b,404,419,463,332,327,310,411,464
Matn2,625,763,919,411,382,445,473,509
Matn4,510,503,555,399,394,319,481,499
Matr3,490,415,480,465,457,432,573,588
Mavs,2642,2667,3107,2411,2124,2305,2858,2677
Max,345,336,421,442,390,373,429,381
Mb,358,370,396,194,228,197,258,275
Mb21d1,270,238,275,172,151,223,304,242
Mbd2,4361,3969,4112,4265,4167,3615,5156,5034
Mbd4,1315,1136,1434,862,790,748,955,957
Mbd5,207,82,62,122,108,160,104,63
Mbd6,1340,1325,1583,1021,956,764,1162,1231
Mbip,465,395,415,345,331,321,430,468
Mblac1,1524,1340,1529,1591,1574,1587,1666,1772
Mbnl1,0,1,1,5,2,6,5,3
Mbnl3,250,153,155,203,116,149,95,75
Mboat1,58,60,62,190,133,192,39,16
Mboat7,88,95,145,139,135,128,108,72
Mbtd1,105,107,117,171,110,93,39,59
Mbtps2,3962,4308,4882,3309,3119,3195,3939,4115
Mc1r,183,198,275,162,168,203,159,164
Mcat,258,226,313,198,173,177,182,206
Mcc,1951,1256,1393,1750,1568,1776,1467,1394
Mccc1os,5685,4725,5490,4766,4599,4331,6224,5851
Mcee,2411,2214,2380,1391,1392,1371,1930,2016
Mcf2,409,349,350,534,546,581,302,401
Mcfd2,10,5,6,4,3,2,8,6
Mcl1,1168,1318,1463,1357,1288,1232,1385,1278
Mcm10,7,3,3,2,2,1,0,1
Mcm2,22,10,10,14,15,17,13,10
Mcm3ap,218,187,249,22,19,18,55,29
Mcm4,258,196,212,222,228,203,257,285
Mcm5,3599,4192,4828,4099,3711,3843,3624,3430
Mcm7,205,182,228,159,139,165,201,238
Mcmdc2,9508,9701,11148,8102,7769,7831,8591,7957
Mcoln1,1278,1214,1314,1603,1601,1482,1356,1343
Mcoln2,5,5,2,1,4,6,2,4
Mcoln3,219,227,212,377,364,368,342,280
Mcph1,6065,5796,6486,6582,6984,6896,5979,6307
Mcpt4,517,432,505,397,404,366,547,538
Mcpt8,180,127,148,163,118,128,166,100
Mctp1,575,648,724,863,618,806,456,479
Mcts1,1040,1200,1350,1287,1211,1131,1235,1439
Mcts2,1315,1416,1485,1878,1917,2100,1619,1583
Mdfi,351,249,330,899,1468,1757,384,493
Mdfic,2467,3342,3204,8311,7471,8022,1869,1579
Mdh2,6,5,8,1,2,2,10,6
Mdk,492,427,507,468,371,349,523,561
Mdm2,2931,2592,3094,2777,2783,2361,2652,2913
Mdm4,1041,1032,1187,613,529,584,904,870
Mdm4-ps,2539,3225,3591,3856,2979,3253,2627,2160
Mdn1,3188,2457,3566,3334,3166,3146,2923,3337
Mdp1,1748,1568,1700,1791,1804,1784,1847,1727
Me1,582,708,883,1100,1216,1147,841,915
Me2,6,1,2,4,2,2,4,4
Mea1,4235,5299,5800,4859,4541,4165,4598,4616
Mecom,68,86,78,159,129,126,109,148
Mecomos,1813,1795,1965,2135,2312,2306,2484,2790
Mecp2,146,114,165,155,110,145,111,184
Med1,245,261,270,155,138,146,215,158
Med11,748,685,767,630,575,500,729,743
Med12l,763,585,624,991,969,1196,1070,988
Med13,165,212,273,180,111,128,65,86
Med14,1965,1953,2345,2006,2121,1956,1912,1915
Med15,6860,6093,5477,11571,11365,8726,9812,11197
Med17,262,280,278,422,423,481,222,333
Med18,1895,2033,2357,2493,2555,2351,2191,2347
Med19,2060,1877,2140,1282,1132,1114,1605,1566
Med20,82,62,85,100,83,94,114,96
Med21,59,48,58,138,138,139,68,78
Med22,10920,9418,11427,7647,7584,6590,7861,8502
Med24,2490,2515,2691,2725,2685,2442,2644,2651
Med25,1224,981,1317,92,65,116,267,145
Med30,184,173,210,295,215,238,232,228
Med4,967,1424,1376,1163,1172,1201,1138,982
Med7,29,14,17,42,34,34,30,74
Med8,4408,3215,3693,3168,3040,2977,4463,3875
Med9os,764,550,682,582,561,468,799,894
Medag,11,11,6,15,17,16,7,12
Mef2a,1070,1117,1138,931,794,718,1061,1146
Mef2c,14,7,9,20,20,21,12,18
Meg3,601,575,731,463,433,592,533,670
Megf10,1197,2714,2410,1121,1095,1076,1176,1130
Megf6,545,614,641,471,391,448,532,487
Megf8,1146,972,993,960,1013,926,908,749
Megf9,13,13,19,24,19,15,23,21
Meis1,5734,5980,6761,4999,4792,4513,5809,5971
Meis2,22,18,23,10,17,9,26,37
Melk,37,52,48,46,46,65,62,47
Men1,2009,2082,2114,2232,2107,2122,2193,2221
Meox2,14018,13240,14805,9538,9310,8891,10186,10598
Mep1a,2,1,6,3,4,1,5,5
Mepce,87,73,130,101,40,48,51,52
Mesdc1,36,29,41,34,37,38,43,53
Mesdc2,38,33,33,14,13,24,22,10
Metap1,4097,4218,4572,5046,5213,5799,4731,3936
Metap1d,450,424,473,572,530,488,555,529
Metrnl,956,871,1000,1334,1261,1375,1145,1034
Mettl1,516,498,583,435,451,541,492,402
Mettl14,1058,902,802,1046,1570,1673,914,1671
Mettl16,28676,23240,25679,27465,27790,22845,28906,30465
Mettl17,527,470,502,126,126,138,312,316
Mettl20,1335,1044,1205,1291,1322,1059,1230,1343
Mettl21a,3263,3059,3388,2476,2350,2424,2856,3017
Mettl21c,951,770,892,1019,958,858,1156,1120
Mettl23,432,328,381,397,319,312,518,499
Mettl24,5,0,5,9,6,7,6,3
Mettl25,17,16,27,37,13,12,9,13
Mettl3,25128,22748,26962,18802,19289,17437,19999,20727
Mettl4,9808,9300,10575,9132,8822,9460,9750,8989
Mettl5,981,1319,1265,1979,2492,2289,1645,1772
Mettl6,28,39,43,43,40,48,32,30
Mettl7a1,666,508,558,838,758,866,630,871
Mettl7a3,4322,4344,4487,6953,6863,6821,4749,4690
Mettl8,310,293,346,207,187,177,287,236
Mettl9,1723,1160,1238,759,808,871,1664,1238
Mex3a,497,377,391,616,645,600,613,581
Mex3b,331,332,438,93,94,108,132,124
Mex3c,266,175,198,163,229,254,175,188
Mex3d,2048,2182,2440,2141,2060,2045,2058,2195
Mfap1a,1957,1850,1971,2126,1975,1787,2117,2123
Mfap3,18,16,24,17,23,40,11,10
Mfap3l,769,658,689,721,653,626,845,825
Mfap4,15,16,12,18,12,20,20,15
Mfhas1,2689,2464,2814,2524,2342,2114,3138,3255
Mfn2,152,134,131,155,159,140,183,218
Mfng,156,170,184,99,94,128,211,166
Mfrp,302,326,412,384,324,395,250,305
Mfsd1,2,2,4,4,0,4,0,1
Mfsd10,1510,1355,1522,902,714,781,1293,1322
Mfsd11,743,627,685,610,638,675,743,1077
Mfsd12,1265,1204,1475,1491,1256,1659,1309,1279
Mfsd3,3248,2877,3475,2932,2857,2746,3351,3566
Mfsd6,1744,1775,2028,1635,1700,1422,1758,1904
Mfsd6l,5,2,6,16,12,7,5,4
MFSD7A,8356,9486,10060,13691,11983,13533,9101,8070
Mfsd7b,3698,4399,4744,3105,2939,2979,4015,3454
Mfsd7c,2343,2375,2759,2095,2054,2113,2440,2584
Mfsd8,7262,7979,8932,6045,5656,5735,7008,6464
Mfsd9,2177,1701,2196,1944,1852,1588,1902,2127
Mgarp,4813,5734,5945,6195,6073,6452,5380,4891
Mgat1,4870,9765,10077,3663,3408,3241,3592,3670
Mgat2,27018,41573,43946,19514,18429,21558,23902,21545
Mgat3,433,265,290,469,452,391,377,402
Mgat4a,829,749,778,747,707,770,850,880
Mgat5,1253,1036,1154,1678,1618,1763,1476,1275
Mgll,1298,1528,1697,3270,3553,4245,2439,2002
Mgme1,1599,1583,1772,1114,1039,885,1485,1430
Mgp,26,17,33,28,11,18,8,11
Mgrn1,62,46,78,86,122,86,130,171
Mgst1,319,243,268,215,225,194,245,290
Mgst2,4002,3804,4146,8213,8382,8838,5703,12626
Mia,268,157,182,220,213,242,325,432
Mib1,497,527,599,636,714,771,645,569
Mical1,125,84,95,116,127,130,151,150
Mical2,1747,1455,1680,1324,1395,1077,1552,1742
Mical3,88,70,77,38,51,43,42,71
Mical3,6,7,13,5,7,5,8,7
Micall1,28,23,51,148,154,114,45,65
Micu2,1013,1122,1329,855,663,823,946,870
Micu3,2220,1878,2094,2777,2706,3013,2777,2672
Mid1,1408,1333,1369,1632,1620,1403,1625,1755
Mid1ip1,106,61,60,114,142,134,147,130
Mid2,3129,4760,4716,2834,2690,2449,3027,2610
Midn,549,313,367,822,832,831,534,553
Mief2,656,695,694,714,694,676,894,834
Mien1,7,3,7,5,0,4,1,1
Mier1,0,6,3,5,2,6,2,2
Mier2,1934,1986,2265,1693,1765,1647,1792,1839
Mif,3150,2903,3189,3673,3884,3628,3309,3206
Mill2,12998,12012,14467,12713,12320,12564,13061,12556
Milr1,936,764,952,729,687,671,863,810
Mina,70,93,109,63,74,97,92,62
Mink1,948,686,825,788,726,601,977,1114
Minpp1,2225,2152,2403,2342,2281,2717,2898,2799
Mipepos,1609,2229,2381,2183,2315,2010,2005,1470
Mir1191,612,768,937,886,769,858,392,366
Mir1192,9,9,21,19,16,32,33,10
Mir1198,2991,3867,4229,4518,4187,4037,3895,3927
Mir150,1203,1233,1420,1651,1601,1537,1474,1439
Mir16-1,1046,1108,1204,1312,1318,1098,1158,1142
Mir17hg,433,496,528,305,363,421,688,778
Mir1839,358,300,364,137,121,131,178,134
Mir186,1089,1107,1401,1258,1483,1638,1023,883
Mir1898,59,44,78,71,62,81,60,62
Mir1929,3,2,1,6,7,10,1,3
Mir1932,28203,32767,31988,31833,33084,32111,18565,19750
Mir1938,292,241,258,295,318,418,250,186
Mir1954,244,201,250,144,123,139,189,190
Mir1957a,91,84,110,50,44,29,71,93
Mir1970,5679,6341,6016,7781,9096,7078,7313,6115
Mir207,56,51,83,3,3,2,54,50
Mir212,4675,3542,3847,4116,4333,3773,5819,6153
Mir22hg,18,9,17,25,27,27,19,40
Mir23a,445,363,445,193,195,195,274,267
Mir27b,589,563,647,620,561,495,650,638
Mir3057,15249,15520,18683,12596,12027,11657,13552,13454
Mir3060,48,43,60,65,86,82,74,86
Mir3068,3114,3787,3857,4169,4096,4102,3407,3073
Mir3091,15,18,26,43,38,49,24,28
Mir3098,2983,2294,2830,2898,2727,2558,2501,2753
Mir3100,62,61,50,52,45,42,77,64
Mir3109,2377,2058,2570,916,787,955,1654,1378
