Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR3A1,3.806728988,4.223336045,3.974102758,4.005076944,4.077499116,3.962086009,3.658776609,3.437691539,3.763705909,3.402194899,3.500623165,3.780403424,3.583594089,3.750024275,2.949957873,3.74718372,4.074575755,4.063208257,3.504804474,3.532815413
OR3A2,4.282364565,4.42905527,3.994894113,4.43236677,4.485602979,4.239695132,3.938605029,3.507440987,3.635573991,4.076873638,3.552407503,4.710835279,4.396066565,3.828844013,3.619283457,3.953589932,3.8630768,3.064574293,4.206591206,4.160851492
OR3A2,5.290986427,4.678658015,4.477816042,5.25593758,4.712493212,4.460358049,4.403451756,4.517829674,5.151383081,4.593929064,4.414720058,4.554917696,4.310786264,4.629670198,4.888454401,4.566141312,4.609724807,5.486109289,4.711485344,4.381358074
OR3A3,5.072606646,5.379556211,4.308638561,4.890009192,4.508974712,4.474125201,4.764898185,4.625824406,5.073964609,4.329255463,4.531702192,4.792289587,5.287273189,5.004335042,5.357343968,5.450008382,4.587284499,4.689733597,4.842619405,4.927772095
OR3A4P,3.709223974,4.16426357,3.715485911,4.13013222,3.843127875,4.322931533,3.863300996,3.491814763,4.068120278,3.850565692,3.388770935,3.674097686,4.169342418,3.748697325,4.321153958,3.841008351,3.608124447,4.456732791,3.781802947,3.597372024
OR4A15,3.106529491,2.621195697,2.6510377,2.461139241,2.312213984,2.737698055,2.367232629,2.530633502,2.608107488,2.661257295,2.714232647,3.621147329,2.785540926,2.551888526,2.505437827,2.336423657,2.407765778,2.901151583,2.735042782,2.596377423
OR4A16,2.347181865,2.29543892,2.613990994,2.199141245,2.460587746,2.583078323,2.270454579,2.237781157,2.502302096,2.748588809,2.163412522,2.735662161,2.655555644,2.323991045,2.719297237,2.245068084,2.183801855,2.714484545,2.717326889,2.195568485
OR4A47,2.504266108,3.100300869,2.887430187,2.658231287,2.226056408,2.390522692,2.243751546,1.970900038,2.42939052,1.849260334,2.128752216,2.970736317,2.087494887,2.855199539,2.074569152,1.808993757,2.05238013,2.317246014,2.24837303,2.351058445
OR4A47,2.797218134,3.543617952,3.338377843,2.678642004,2.764593825,2.489099244,2.362404487,2.416128503,2.708521429,2.309713133,2.349721147,2.709771002,3.082244017,3.012378706,2.84258183,2.379779863,2.728887255,3.419305141,2.672811834,2.663520186
OR4A5,2.971817366,3.364186503,2.913965422,3.027906492,2.647906857,2.910166054,2.487425374,2.920334192,3.047914801,2.784472036,2.64912398,3.698334272,2.791619336,2.819168358,2.901565841,3.007945569,2.483878289,2.837126097,3.1669774,2.652002907
